code,label,parent
window_treatment_store,Window Treatment Store,hardware_home_and_garden_store
beauty_product_supplier,Beauty Product Supplier,supplier_or_distributor
car_stereo_store,Car Stereo Store,electronics_store
produce_store,Produce Store,specialty_foods_store
truck_dealer,Truck Dealer,vehicle_dealer
emissions_inspection,Emissions Inspection,automotive_service
internet_service_provider,Internet Service Provider,technical_service
e_commerce_service,E Commerce Service,professional_service
costume_store,Costume Store,arts_crafts_and_hobby_store
trophy_store,Trophy Store,specialty_store
chocolatier,Chocolatier,candy_store
food_beverage_distributor,Food Beverage Distributor,supplier_or_distributor
french_restaurant,French Restaurant,western_european_restaurant
hookah_bar,Hookah Bar,bar
office_cleaning,Office Cleaning,cleaning_service
wills_trusts_and_probate,Wills Trusts And Probate,attorney_or_law_firm
language_school,Language School,specialty_school
rheumatology,Rheumatology,internal_medicine
public_transit_facility_or_service,Public Transit Facility Or Service,ground_transport_facility_or_service
chimney_sweep,Chimney Sweep,chimney_service
cosmetology_school,Cosmetology School,specialty_school
food_and_drink,Food And Drink,
inn,Inn,lodging
livestock_breeder,Livestock Breeder,b2b_agriculture_service
public_utility,Public Utility,community_and_government
festival_venue,Festival Venue,arts_and_entertainment
health_and_wellness_club,Health And Wellness Club,wellness_service
media_news_company,Media News Company,media_service
peruvian_restaurant,Peruvian Restaurant,south_american_restaurant
solar_installation,Solar Installation,home_service
anesthesiology,Anesthesiology,pain_management
embroidery_and_crochet_store,Embroidery And Crochet Store,craft_store
emergency_or_urgent_care_facility,Emergency Or Urgent Care Facility,health_care
homeless_shelter,Homeless Shelter,social_or_community_service
media_agency,Media Agency,media_news_company
passport_and_visa_service,Passport And Visa Service,travel_service
bathroom_remodeling,Bathroom Remodeling,home_service
boxing_class,Boxing Class,sport_or_fitness_facility
brake_service_and_repair,Brake Service And Repair,automotive_repair
currency_exchange,Currency Exchange,financial_service
health_spa,Health Spa,spa
poke_restaurant,Poke Restaurant,hawaiian_restaurant
windshield_installation_and_repair,Windshield Installation And Repair,auto_glass_service
fishing_charter,Fishing Charter,fishing
flight_school,Flight School,specialty_school
jail_or_prison,Jail Or Prison,public_safety_service
private_investigation,Private Investigation,legal_service
theme_restaurant,Theme Restaurant,restaurant
threading_service,Threading Service,hair_removal
family_counseling,Family Counseling,counseling
mobile_phone_repair,Mobile Phone Repair,it_service_and_computer_repair
real_estate_investment,Real Estate Investment,financial_service
b2b_surgical_appliances_and_supplies,B2b Surgical Appliances And Supplies,b2b_medical_support_service
coworking_space,Coworking Space,professional_service
transmission_repair,Transmission Repair,automotive_repair
anglican_or_episcopal_place_of_worship,Anglican Or Episcopal Place Of Worship,protestant_place_of_worship
swimming_instructor,Swimming Instructor,swimming_pool
cabinet_sales_service,Cabinet Sales Service,home_service
salad_bar,Salad Bar,restaurant
